x	 y	 NICS
-3.	 -3.	 1.8195
-3.	 -2.8	 1.9485
-3.	 -2.6	 2.0611
-3.	 -2.4	 2.142
-3.	 -2.2	 2.1745
-3.	 -2.	 2.1479
-3.	 -1.8	 2.0687
-3.	 -1.6	 1.9723
-3.	 -1.4	 1.9224
-3.	 -1.2	 1.9884
-3.	 -1.	 2.2083
-3.	 -0.8	 2.5604
-3.	 -0.6	 2.9696
-3.	 -0.4	 3.3415
-3.	 -0.2	 3.5966
-3.	 0.	 3.6868
-3.	 0.2	 3.5966
-3.	 0.4	 3.3415
-3.	 0.6	 2.9696
-3.	 0.8	 2.5604
-3.	 1.	 2.2083
-3.	 1.2	 1.9884
-3.	 1.4	 1.9224
-3.	 1.6	 1.9723
-3.	 1.8	 2.0687
-3.	 2.	 2.1479
-3.	 2.2	 2.1745
-3.	 2.4	 2.142
-3.	 2.6	 2.0611
-3.	 2.8	 1.9485
-3.	 3.	 1.8195
-2.8	 -3.	 1.9655
-2.8	 -2.8	 2.1039
-2.8	 -2.6	 2.215
-2.8	 -2.4	 2.273
-2.8	 -2.2	 2.2471
-2.8	 -2.	 2.1126
-2.8	 -1.8	 1.8719
-2.8	 -1.6	 1.5799
-2.8	 -1.4	 1.351
-2.8	 -1.2	 1.3233
-2.8	 -1.	 1.5824
-2.8	 -0.8	 2.0988
-2.8	 -0.6	 2.738
-2.8	 -0.4	 3.3304
-2.8	 -0.2	 3.7381
-2.8	 0.	 3.8822
-2.8	 0.2	 3.7381
-2.8	 0.4	 3.3304
-2.8	 0.6	 2.738
-2.8	 0.8	 2.0988
-2.8	 1.	 1.5824
-2.8	 1.2	 1.3233
-2.8	 1.4	 1.351
-2.8	 1.6	 1.5799
-2.8	 1.8	 1.8719
-2.8	 2.	 2.1126
-2.8	 2.2	 2.2471
-2.8	 2.4	 2.273
-2.8	 2.6	 2.215
-2.8	 2.8	 2.1039
-2.8	 3.	 1.9655
-2.6	 -3.	 2.1226
-2.6	 -2.8	 2.2729
-2.6	 -2.6	 2.3829
-2.6	 -2.4	 2.4126
-2.6	 -2.2	 2.3094
-2.6	 -2.	 2.023
-2.6	 -1.8	 1.54
-2.6	 -1.6	 0.9314
-2.6	 -1.4	 0.3834
-2.6	 -1.2	 0.1478
-2.6	 -1.	 0.4002
-2.6	 -0.8	 1.1098
-2.6	 -0.6	 2.0521
-2.6	 -0.4	 2.9419
-2.6	 -0.2	 3.5557
-2.6	 0.	 3.7722
-2.6	 0.2	 3.5557
-2.6	 0.4	 2.9419
-2.6	 0.6	 2.0521
-2.6	 0.8	 1.1098
-2.6	 1.	 0.4002
-2.6	 1.2	 0.1478
-2.6	 1.4	 0.3834
-2.6	 1.6	 0.9314
-2.6	 1.8	 1.54
-2.6	 2.	 2.023
-2.6	 2.2	 2.3094
-2.6	 2.4	 2.4126
-2.6	 2.6	 2.3829
-2.6	 2.8	 2.2729
-2.6	 3.	 2.1226
-2.4	 -3.	 2.2926
-2.4	 -2.8	 2.4604
-2.4	 -2.6	 2.5758
-2.4	 -2.4	 2.5815
-2.4	 -2.2	 2.3963
-2.4	 -2.	 1.9314
-2.4	 -1.8	 1.1378
-2.4	 -1.6	 0.0883
-2.4	 -1.4	 -0.9507
-2.4	 -1.2	 -1.5686
-2.4	 -1.	 -1.4429
-2.4	 -0.8	 -0.5824
-2.4	 -0.6	 0.6769
-2.4	 -0.4	 1.8953
-2.4	 -0.2	 2.7381
-2.4	 0.	 3.0345
-2.4	 0.2	 2.7381
-2.4	 0.4	 1.8953
-2.4	 0.6	 0.6769
-2.4	 0.8	 -0.5824
-2.4	 1.	 -1.4429
-2.4	 1.2	 -1.5686
-2.4	 1.4	 -0.9507
-2.4	 1.6	 0.0883
-2.4	 1.8	 1.1378
-2.4	 2.	 1.9314
-2.4	 2.2	 2.3963
